,,
No,QUESTION,ANSWER
1,"Universal Containers (UC) has a queue that is used for managing tasks that need to be worked by the UC customer support team. The same team will now be working some of UC's Cases.

Which two options should the administrator use to help the support team?

Choose 2 answers

A. Configure a flow to assign the cases to the queue.
B. Add Cases to the existing queue as available object.
C. Use assignment rules to set the queue as the owner of the case.
D. Create a new queue and add Cases as an available object.
","B, C"
2,"Cloud Kicks wants to update the screen flow so that if the High Value Customer flag is set to true, the first screen is skipped and the user is directed to the second screen.                                                                                                                                                                                                                                     

How should  administrator configure the decision element?
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 A. Use the contains operator and (!$GlobalConstant.False) as the value.
B. Use the equals operator and {!$GlobalConstant.True} as the value.
C. Use the equals operator and the High Value Customer value.
D. Use the contains operator and the value ""High Value Customer"".",B
3,"The sales team at Ursa Major Solar has asked the administrator to automate an outbound message.

What should the administrator utilize to satisfy the request?

A. Process Builder
B. Task Assignment
C. Recorded-triggered flow
D. Case Auto-Response Rule",A
4,"Ursa Solar Major is evaluating Salesforce for its service team and would like to know what objects were available out of the box.

Which three of the standard objects are available to an administrator considering a support use case?

Choose 3 answers

A. Account
B. Ticket
C. Request
D. Contract
E. Case
","A, D, E"
5,"DreamHouse Realty has an approval process. A manager attempts to approve the record but receives an error.

What should the administrator review to troubleshoot this request?

A. Review the page layout to ensure the fields updated in the process are visible.
B. Add a delegated approver for the next approver in the process.
C. Update the field-level security to view on fields that are updated in the process.
D. Check if the user in the next approver is inactive or missing.
",D
6,"The administrator at Cloud Kicks has been told that users are unable to add repeating tasks in Salesforce.

Which two solutions should the administrator use to ensure users are able to do this?

Choose 2 answers

A. Enable Creation of Recurring Tasks in Activity Settings
B. Disable Shared Activities
C. Add Create Recurring Series of Tasks field on page layouts
D. Turn on Task Notifications Service","A, C"
7,"A sales rep has a list of 300 accounts with contacts that they want to upload at one time.

Which tool should the administrator utilize to import the records to Salesforce?

A. Dataloader.io
B. Data Loader
C. Data Import Wizard
D. Manual Import",C 
8,"The administrator at AW Computing wants Account details, related lists, and Chatter feeds to each appear on separate tabs when viewing an Account.

Which type of page should the administrator create?

A. Lightning record page
B. Lightning page tab
C. Lightning page component
D. Lightning app page
",A
9,"Which tool should an administrator use to identify and fix potential session vulnerabilities?

A. Field History Tracking
B. Organization-Wide Defaults
C. Security Health Check
D. Setup Audit Trail
",C
10,"Sales and Customer Care at Ursa Major Solar need to see different fields on the Case related list from the Account record. Sales users want to see Case created date and status while Customer Care would like to see owner, status, and contact.

What should the administrator use to achieve this?

A. Compact Layout Editor
B. Search Layout Editor
C. Related Lookup Filters
D. Page Layout Editor
",D
